Game,Date,TEAM,OPP,Win,Points,WL (H),WL HOME (H),WL LAST 5 (H),WL LAST 8 (H),WL LAST 10 (H),PD (H),PD HOME (H),PD LAST 5 (H),PD LAST 8 (H),PD LAST 10 (H),WL (A),WL AWAY (A),WL LAST 5 (A),WL LAST 8 (A),WL LAST 10 (A),PD (A),PD AWAY (A),PD LAST 5 (A),PD LAST 8 (A),PD LAST 10 (A),Prev WL (H),Prev WL (A),Prev WL HOME (H),Prev WL AWAY (A),AST,TRB,FG%,3P%
30,2008-12-29,0,8,1,18,0.6551724137931034,0.8666666666666667,0.8,0.875,0.7,2.8275862068965516,6.2,8.6,8.25,5.2,0.6451612903225806,0.5625,0.6,0.5,0.6,3.7419354838709675,1.875,0.6,-2.0,1.3,0.5,0.5,0.5,0.5,-0.6651835372636263,-0.2258064516129039,-0.011842046718576194,0.015139043381535155
33,2009-01-03,0,11,1,3,0.65625,0.875,0.8,0.75,0.8,3.25,6.9375,9.0,8.125,7.4,0.6176470588235294,0.5263157894736842,0.4,0.5,0.6,3.0,0.10526315789473684,-4.6,-0.25,2.1,0.5,0.5,0.5,0.5,1.9007352941176485,-1.744485294117645,0.019636029411764788,0.010985294117647093
34,2009-01-07,0,24,0,-4,0.6666666666666666,0.8823529411764706,0.8,0.875,0.8,3.242424242424242,6.705882352941177,7.4,8.875,7.2,0.7714285714285715,0.7058823529411765,0.6,0.75,0.8,7.142857142857143,4.705882352941177,5.2,12.75,11.7,0.5,0.5,0.5,0.5,2.912554112554112,-1.7160173160173144,0.004390476190476278,0.005185281385281515
36,2009-01-11,0,25,0,-15,0.6285714285714286,0.8333333333333334,0.4,0.625,0.7,1.9714285714285715,6.111111111111111,-6.2,1.25,3.3,0.4444444444444444,0.3684210526315789,0.6,0.5,0.4,-1.1388888888888888,-5.421052631578948,1.4,-0.75,-2.6,0.5,0.5,0.5,0.5,1.7484126984127002,-2.0603174603174566,0.0027674603174603907,0.0903500000000001
40,2009-01-19,0,30,1,3,0.5897435897435898,0.7894736842105263,0.2,0.25,0.4,1.564102564102564,5.0,-8.4,-5.625,-2.1,0.38095238095238093,0.36363636363636365,0.0,0.25,0.4,-2.4523809523809526,-5.0,-5.4,-1.25,1.7,0.5,0.5,0.5,0.5,-0.1245421245421241,1.2362637362637372,-0.0028827838827836794,-0.004772893772893694
42,2009-01-23,0,17,1,30,0.6097560975609756,0.8,0.6,0.375,0.4,1.6341463414634145,4.9,2.6,-5.0,-3.9,0.4666666666666667,0.34615384615384615,0.4,0.5,0.5,0.8444444444444444,-3.423076923076923,2.4,2.25,2.3,0.5,0.5,0.5,0.5,0.2634146341463435,-1.5203252032520282,0.007121951219512146,0.031036314363143636
43,2009-01-25,0,26,0,-5,0.6190476190476191,0.8095238095238095,0.8,0.5,0.5,2.3095238095238093,6.095238095238095,9.6,-0.75,-0.7,0.5609756097560976,0.5238095238095238,0.2,0.375,0.4,0.6341463414634146,-1.1904761904761905,-8.4,-4.625,-1.2,0.5,0.5,0.5,0.5,0.1051103368176527,-0.8350754936120737,-0.03779384436701516,-0.007673054587688688
46,2009-01-30,0,19,1,17,0.5777777777777777,0.7727272727272727,0.4,0.5,0.4,1.511111111111111,5.590909090909091,0.8,2.375,-0.1,0.43478260869565216,0.5,0.2,0.125,0.2,-2.9782608695652173,-1.6363636363636365,-2.4,-8.75,-6.8,0.5,0.5,0.5,0.5,2.137681159420289,-0.4521739130434739,0.013574879227053027,-0.0019338164251206935
50,2009-02-07,0,13,0,-24,0.5918367346938775,0.782608695652174,0.6,0.5,0.6,1.9387755102040816,6.086956521739131,3.8,3.5,3.4,0.22,0.24,0.2,0.125,0.2,-8.24,-7.6,-12.2,-15.125,-12.9,0.5,0.5,0.5,0.5,0.9628571428571426,-0.5583673469387733,0.02566367346938786,0.038511836734693994
51,2009-02-10,0,32,1,21,0.58,0.75,0.6,0.375,0.5,1.42,4.833333333333333,0.6,-3.25,0.7,0.21568627450980393,0.125,0.4,0.25,0.2,-7.705882352941177,-10.125,-10.0,-12.25,-13.1,0.5,0.5,0.5,0.5,0.6294117647058854,0.3137254901960773,0.012530980392156998,0.05146862745098041
58,2009-02-27,0,16,1,8,0.5614035087719298,0.76,0.2,0.375,0.5,1.0175438596491229,5.48,-7.6,-4.625,-2.4,0.5357142857142857,0.4074074074074074,0.6,0.5,0.5,-0.08928571428571429,-4.148148148148148,-2.0,-4.125,-1.2,0.5,0.5,0.5,0.5,0.9501879699248121,0.8057644110275675,0.005076441102757123,0.012094611528822186
59,2009-03-01,0,6,0,-1,0.5689655172413793,0.7692307692307693,0.4,0.5,0.5,1.1379310344827587,5.576923076923077,-3.4,-0.625,-2.4,0.7894736842105263,0.6333333333333333,0.8,0.75,0.7,9.719298245614034,4.7,7.2,8.625,6.4,0.5,0.5,0.5,0.5,0.7943133696309737,-1.8073200241984324,-0.013828796128251497,-0.020966122202056736
63,2009-03-07,0,9,1,4,0.5483870967741935,0.7407407407407407,0.4,0.25,0.3,1.0161290322580645,5.333333333333333,1.0,-3.125,-3.3,0.5166666666666667,0.5172413793103449,0.8,0.5,0.4,-0.45,-0.9655172413793104,7.4,0.0,-1.0,0.5,0.5,0.5,0.5,0.2983870967741922,-0.8118279569892479,0.0037091397849464136,0.03152258064516128
64,2009-03-09,0,20,1,10,0.5555555555555556,0.75,0.4,0.375,0.4,1.0634920634920635,5.285714285714286,0.2,-1.375,-1.6,0.639344262295082,0.5517241379310345,1.0,0.875,0.8,2.9672131147540983,-0.4827586206896552,9.0,5.125,6.9,0.5,0.5,0.5,0.5,0.4925839188134269,0.23263075722092452,-8.326827998839104e-06,-0.012302367941712189
65,2009-03-11,0,31,1,7,0.5625,0.7586206896551724,0.6,0.5,0.4,1.203125,5.448275862068965,2.4,2.25,-1.1,0.640625,0.43333333333333335,1.0,1.0,1.0,4.125,-2.5,8.2,11.25,10.9,0.5,0.5,0.5,0.5,-4.375,-0.953125,-0.02203124999999989,0.018546874999999963
66,2009-03-13,0,12,1,14,0.5692307692307692,0.7666666666666667,0.6,0.625,0.5,1.2923076923076924,5.5,2.0,3.25,0.6,0.42424242424242425,0.2571428571428571,0.6,0.5,0.6,-1.7424242424242424,-5.457142857142857,0.2,-0.375,1.1,0.5,0.5,0.5,0.5,-1.6752913752913763,-3.575990675990681,0.004820512820513045,-0.018750815850815783
67,2009-03-15,0,27,1,18,0.5757575757575758,0.7741935483870968,0.8,0.625,0.6,1.4848484848484849,5.774193548387097,5.6,4.0,3.9,0.6307692307692307,0.41935483870967744,0.6,0.75,0.6,3.9384615384615387,-1.5161290322580645,1.6,6.0,2.9,0.5,0.5,0.5,0.5,0.19254079254079315,-1.0179487179487197,-0.003945221445221414,-0.019726107226106793
