Rk,G,Date,Home,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,V25,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team
47,47,2017-01-28,@,MIN,L,109,129,41,85,.482,7,21,.333,20,25,.800,5,40,20,6,6,14,18,,47,93,.505,9,20,.450,26,32,.813,13,49,27,8,8,11,21,BRK
48,48,2017-01-30,@,MIA,L,96,104,37,87,.425,4,26,.154,18,22,.818,15,53,16,7,4,16,23,,39,82,.476,11,26,.423,15,23,.652,5,34,22,9,8,11,18,BRK
49,49,2017-02-01,,NYK,L,90,95,37,88,.420,5,25,.200,11,16,.688,12,49,17,4,7,20,24,,35,99,.354,6,27,.222,19,31,.613,21,58,23,16,7,13,18,BRK
50,50,2017-02-03,,IND,L,97,106,32,86,.372,11,28,.393,22,23,.957,9,44,20,7,4,19,22,,37,86,.430,8,20,.400,24,31,.774,12,49,20,11,10,14,19,BRK
51,51,2017-02-05,,TOR,L,95,103,32,76,.421,13,34,.382,18,21,.857,7,42,19,8,7,21,19,,40,87,.460,5,19,.263,18,20,.900,8,45,21,8,4,11,18,BRK
52,52,2017-02-07,@,CHO,L,107,111,39,86,.453,12,36,.333,17,21,.810,4,45,26,3,8,15,23,,40,102,.392,7,26,.269,24,29,.828,12,51,19,6,7,7,17,BRK
53,53,2017-02-08,,WAS,L,110,114,38,91,.418,9,33,.273,25,36,.694,15,55,20,6,5,16,24,,40,97,.412,9,25,.360,25,33,.758,17,54,21,9,5,12,26,BRK
54,54,2017-02-10,,MIA,L,99,108,35,81,.432,8,20,.400,21,28,.750,15,48,19,4,6,22,18,,41,92,.446,7,23,.304,19,21,.905,13,46,16,11,7,14,21,BRK
55,55,2017-02-13,,MEM,L,103,112,38,82,.463,12,37,.324,15,18,.833,6,32,23,8,0,12,24,,39,77,.506,9,22,.409,25,27,.926,5,41,25,7,1,12,16,BRK
56,56,2017-02-15,,MIL,L,125,129,46,88,.523,14,36,.389,19,23,.826,9,42,30,7,8,17,21,,50,88,.568,7,15,.467,22,32,.688,7,39,27,16,3,10,19,BRK
57,57,2017-02-24,@,DEN,L,109,129,41,83,.494,10,30,.333,17,31,.548,7,42,27,7,4,19,23,,49,97,.505,14,31,.452,17,24,.708,11,51,32,11,2,13,24,BRK
58,58,2017-02-25,@,GSW,L,95,112,38,94,.404,8,28,.286,11,17,.647,11,52,25,8,3,16,20,,42,100,.420,11,31,.355,17,22,.773,13,52,30,10,11,11,17,BRK
