Rk,G,Date,Home,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,V25,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team
30,30,2016-12-23,,ATL,L,108,109,37,78,.474,8,25,.320,26,35,.743,7,46,27,3,7,15,29,,37,86,.430,8,25,.320,27,33,.818,9,40,26,10,4,8,25,DEN
31,31,2016-12-26,@,LAC,W,106,102,36,82,.439,11,31,.355,23,28,.821,11,51,22,10,1,14,18,,39,84,.464,9,25,.360,15,20,.750,4,38,22,6,6,11,19,DEN
32,32,2016-12-28,,MIN,W,105,103,42,81,.519,10,28,.357,11,14,.786,8,38,29,6,4,15,17,,42,94,.447,7,25,.280,12,17,.706,16,43,29,8,3,8,15,DEN
33,33,2016-12-30,,PHI,L,122,124,39,84,.464,11,27,.407,33,41,.805,11,45,29,5,1,10,26,,38,87,.437,16,33,.485,32,40,.800,15,44,25,5,5,11,33,DEN
34,34,2017-01-02,@,GSW,L,119,127,48,101,.475,9,35,.257,14,18,.778,16,48,33,10,2,14,21,,50,95,.526,11,25,.440,16,21,.762,12,43,33,7,2,13,14,DEN
35,35,2017-01-03,,SAC,L,113,120,41,82,.500,18,38,.474,13,13,1.000,4,32,29,6,4,14,18,,46,88,.523,11,29,.379,17,18,.944,5,33,26,7,2,8,13,DEN
36,36,2017-01-05,,SAS,L,99,127,39,86,.453,7,25,.280,14,17,.824,11,38,25,7,3,13,17,,51,90,.567,12,24,.500,13,17,.765,7,41,34,5,8,7,15,DEN
37,37,2017-01-07,@,OKC,L,106,121,40,99,.404,9,24,.375,17,24,.708,15,53,18,7,4,12,23,,43,89,.483,12,36,.333,23,29,.793,6,49,23,8,11,10,20,DEN
38,38,2017-01-12,,IND,W,140,112,52,90,.578,15,32,.469,21,23,.913,12,47,37,10,5,15,16,,44,94,.468,12,29,.414,12,13,.923,12,34,26,9,4,16,15,DEN
39,39,2017-01-16,,ORL,W,125,112,52,89,.584,9,27,.333,12,15,.800,9,39,33,11,3,14,17,,45,88,.511,8,25,.320,14,18,.778,7,34,28,6,1,14,10,DEN
40,40,2017-01-17,@,LAL,W,127,121,50,88,.568,11,26,.423,16,26,.615,13,45,29,5,9,17,17,,47,108,.435,11,30,.367,16,18,.889,20,43,28,11,5,12,21,DEN
41,41,2017-01-19,@,SAS,L,104,118,37,91,.407,10,31,.323,20,26,.769,11,43,27,5,7,15,19,,44,86,.512,9,22,.409,21,25,.840,6,43,28,12,5,7,19,DEN
42,42,2017-01-21,,LAC,W,123,98,46,87,.529,10,24,.417,21,26,.808,10,45,30,4,0,10,16,,40,96,.417,10,32,.313,8,8,1.000,10,35,23,5,2,7,23,DEN
43,43,2017-01-22,@,MIN,L,108,111,42,82,.512,7,24,.292,17,21,.810,12,41,26,6,7,17,19,,45,85,.529,6,15,.400,15,21,.714,8,36,29,11,8,14,24,DEN
44,44,2017-01-24,,UTA,W,103,93,35,76,.461,10,26,.385,23,31,.742,7,43,28,7,6,14,15,,35,85,.412,7,22,.318,16,21,.762,8,40,19,6,3,11,21,DEN
45,45,2017-01-26,,PHO,W,127,120,44,86,.512,9,23,.391,30,35,.857,19,46,29,5,6,12,15,,48,89,.539,10,24,.417,14,17,.824,8,28,21,8,2,11,26,DEN
46,46,2017-01-28,@,PHO,W,123,112,39,80,.488,8,25,.320,37,42,.881,9,48,17,7,3,14,25,,41,91,.451,6,21,.286,24,32,.750,11,43,20,9,3,10,36,DEN
47,47,2017-01-31,@,LAL,L,116,120,41,99,.414,15,27,.556,19,23,.826,20,51,26,12,5,11,18,,47,89,.528,12,26,.462,14,18,.778,10,44,25,7,10,15,16,DEN
48,48,2017-02-01,,MEM,L,99,119,32,80,.400,9,25,.360,26,35,.743,11,45,25,7,2,17,17,,45,92,.489,14,30,.467,15,20,.750,11,46,28,6,4,8,24,DEN
49,49,2017-02-03,,MIL,W,121,117,40,89,.449,9,28,.321,32,44,.727,18,48,31,8,5,14,13,,45,83,.542,9,24,.375,18,23,.783,6,38,26,9,13,18,26,DEN
50,50,2017-02-04,@,SAS,L,97,121,41,92,.446,10,26,.385,5,10,.500,16,42,22,7,1,21,19,,45,79,.570,10,21,.476,21,26,.808,7,38,29,13,8,14,15,DEN
51,51,2017-02-06,,DAL,W,110,87,42,84,.500,11,28,.393,15,16,.938,10,49,28,7,10,15,19,,34,79,.430,8,26,.308,11,17,.647,3,29,25,8,3,10,18,DEN
52,52,2017-02-08,@,ATL,L,106,117,40,100,.400,13,44,.295,13,21,.619,21,49,25,8,4,10,20,,47,93,.505,8,27,.296,15,18,.833,12,48,31,6,4,10,18,DEN
53,53,2017-02-10,@,NYK,W,131,123,54,95,.568,16,32,.500,7,10,.700,16,44,30,6,5,15,11,,52,93,.559,16,38,.421,3,5,.600,10,33,36,10,5,10,14,DEN
54,54,2017-02-11,@,CLE,L,109,125,39,97,.402,12,37,.324,19,22,.864,17,45,23,8,4,12,22,,46,84,.548,15,30,.500,18,22,.818,8,45,30,9,3,15,16,DEN
55,55,2017-02-13,,GSW,W,132,110,48,88,.545,24,41,.585,12,16,.750,14,52,34,6,1,22,14,,45,92,.489,8,32,.250,12,13,.923,4,27,25,12,6,9,13,DEN
56,56,2017-02-15,,MIN,L,99,112,38,94,.404,11,34,.324,12,18,.667,14,49,25,4,5,14,19,,41,86,.477,6,18,.333,24,28,.857,9,45,20,12,4,7,15,DEN
57,57,2017-02-23,@,SAC,L,100,116,39,88,.443,12,35,.343,10,14,.714,10,43,23,10,2,16,18,,46,88,.523,7,14,.500,17,19,.895,9,46,26,8,4,14,16,DEN
58,58,2017-02-24,,BRK,W,129,109,49,97,.505,14,31,.452,17,24,.708,11,51,32,11,2,13,24,,41,83,.494,10,30,.333,17,31,.548,7,42,27,7,4,19,23,DEN
59,59,2017-02-26,,MEM,L,98,105,37,84,.440,11,34,.324,13,17,.765,10,39,26,9,3,12,23,,36,80,.450,11,33,.333,22,25,.880,13,49,21,9,2,15,20,DEN
60,60,2017-02-28,@,CHI,W,125,107,45,80,.563,13,30,.433,22,24,.917,6,45,26,6,2,16,16,,44,96,.458,10,26,.385,9,10,.900,11,35,26,10,3,12,19,DEN
61,61,2017-03-01,@,MIL,W,110,98,41,84,.488,10,33,.303,18,20,.900,14,45,21,8,2,14,15,,38,83,.458,9,18,.500,13,15,.867,10,34,26,8,5,13,19,DEN
62,62,2017-03-04,,CHO,L,102,112,36,80,.450,9,30,.300,21,25,.840,11,45,21,5,3,13,20,,41,90,.456,16,27,.593,14,17,.824,13,43,25,8,6,5,18,DEN
63,63,2017-03-06,,SAC,W,108,96,37,74,.500,13,30,.433,21,28,.750,7,40,28,11,2,17,18,,36,83,.434,6,16,.375,18,21,.857,11,40,20,9,1,15,18,DEN
64,64,2017-03-08,,WAS,L,113,123,46,87,.529,13,28,.464,8,17,.471,10,39,31,6,2,16,16,,50,88,.568,11,26,.423,12,19,.632,8,43,31,10,0,11,16,DEN
65,65,2017-03-10,,BOS,W,119,99,45,85,.529,12,31,.387,17,22,.773,11,50,24,11,4,18,18,,34,81,.420,12,33,.364,19,23,.826,9,34,19,11,2,18,23,DEN
66,66,2017-03-11,@,SAC,W,105,92,40,85,.471,9,34,.265,16,18,.889,9,44,21,8,8,9,16,,36,82,.439,8,23,.348,12,20,.600,10,41,24,4,2,12,15,DEN
67,67,2017-03-13,,LAL,W,129,101,45,84,.536,17,38,.447,22,25,.880,6,42,36,9,7,15,18,,42,97,.433,6,20,.300,11,19,.579,16,46,17,10,3,16,21,DEN
68,68,2017-03-16,,LAC,W,129,114,46,86,.535,15,28,.536,22,26,.846,11,48,31,7,2,10,14,,44,84,.524,16,32,.500,10,15,.667,4,34,26,5,4,9,19,DEN
69,69,2017-03-18,,HOU,L,105,109,38,89,.427,10,31,.323,19,30,.633,13,45,28,9,3,13,24,,38,83,.458,5,24,.208,28,35,.800,10,48,20,5,5,14,24,DEN
70,70,2017-03-20,@,HOU,L,124,125,44,86,.512,12,29,.414,24,26,.923,8,48,26,7,3,19,18,,45,89,.506,17,38,.447,18,23,.783,6,35,27,12,2,12,22,DEN
71,71,2017-03-22,,CLE,W,126,113,51,96,.531,11,26,.423,13,13,1.000,10,44,35,7,0,6,16,,43,85,.506,15,37,.405,12,14,.857,7,38,22,4,4,10,12,DEN
72,72,2017-03-24,@,IND,W,125,117,39,82,.476,7,27,.259,40,43,.930,11,45,23,8,4,13,15,,48,95,.505,13,24,.542,8,11,.727,11,39,19,9,8,12,29,DEN
73,73,2017-03-26,,NOP,L,90,115,36,95,.379,6,25,.240,12,14,.857,7,48,21,3,1,9,13,,48,97,.495,9,27,.333,10,12,.833,10,60,29,6,4,9,18,DEN
74,74,2017-03-28,@,POR,L,113,122,44,94,.468,9,30,.300,16,20,.800,12,47,23,3,6,12,24,,45,91,.495,8,27,.296,24,33,.727,15,47,15,8,5,9,18,DEN
75,75,2017-03-31,@,CHO,L,114,122,45,90,.500,16,33,.485,8,11,.727,10,49,32,4,1,13,19,,40,86,.465,17,36,.472,25,30,.833,10,43,26,10,11,6,17,DEN
76,76,2017-04-02,@,MIA,W,116,113,44,87,.506,5,20,.250,23,27,.852,6,40,25,9,6,8,14,,42,87,.483,13,27,.481,16,21,.762,7,41,26,3,9,10,22,DEN
77,77,2017-04-04,@,NOP,W,134,131,53,99,.535,13,30,.433,15,21,.714,15,50,31,3,2,10,20,,51,100,.510,14,32,.438,15,17,.882,10,35,30,5,8,7,16,DEN
78,78,2017-04-05,@,HOU,L,104,110,41,104,.394,7,38,.184,15,18,.833,12,51,26,10,5,12,24,,37,87,.425,10,34,.294,26,38,.684,11,56,19,7,3,16,20,DEN
79,79,2017-04-07,,NOP,W,122,106,43,78,.551,13,32,.406,23,32,.719,11,50,31,9,4,21,15,,47,99,.475,3,23,.130,9,13,.692,10,33,19,11,3,11,19,DEN
80,80,2017-04-09,,OKC,L,105,106,40,84,.476,11,34,.324,14,15,.933,4,42,22,6,4,12,16,,40,96,.417,6,25,.240,20,22,.909,18,54,19,7,3,12,19,DEN
81,81,2017-04-11,@,DAL,W,109,91,41,84,.488,18,42,.429,9,14,.643,10,53,31,7,1,16,14,,35,88,.398,12,40,.300,9,11,.818,8,42,24,8,4,13,11,DEN
82,82,2017-04-12,@,OKC,W,111,105,39,85,.459,7,25,.280,26,32,.813,5,43,22,6,8,15,17,,43,101,.426,8,25,.320,11,17,.647,14,51,20,10,8,12,24,DEN
1,1,2016-10-26,@,TOR,L,91,109,35,84,.417,4,22,.182,17,22,.773,8,40,17,8,0,13,24,,41,86,.477,3,18,.167,24,29,.828,14,51,17,8,0,11,22,DET
2,2,2016-10-28,,ORL,W,108,82,48,95,.505,7,19,.368,5,6,.833,9,53,27,8,4,12,11,,33,95,.347,8,26,.308,8,12,.667,14,44,20,8,3,9,13,DET
3,3,2016-10-30,,MIL,W,98,83,39,88,.443,5,20,.250,15,20,.750,16,58,23,8,4,15,14,,34,87,.391,4,17,.235,11,14,.786,10,40,22,10,4,12,16,DET
4,4,2016-11-01,,NYK,W,102,89,41,89,.461,8,13,.615,12,21,.571,10,48,19,7,5,10,16,,35,86,.407,7,22,.318,12,15,.800,8,43,18,6,9,11,20,DET
5,5,2016-11-02,@,BRK,L,101,109,37,88,.420,9,25,.360,18,21,.857,10,38,21,11,6,13,18,,41,76,.539,13,27,.481,14,17,.824,5,45,27,10,3,19,23,DET
6,6,2016-11-05,,DEN,W,103,86,40,84,.476,7,20,.350,16,22,.727,9,47,22,9,9,13,16,,31,94,.330,7,25,.280,17,20,.850,16,48,15,8,2,16,15,DET
7,7,2016-11-07,@,LAC,L,82,114,30,82,.366,4,12,.333,18,26,.692,11,39,14,5,2,11,19,,41,76,.539,13,25,.520,19,22,.864,2,46,28,8,7,10,20,DET
8,8,2016-11-09,@,PHO,L,100,107,32,89,.360,9,22,.409,27,32,.844,9,41,20,11,5,11,24,,38,84,.452,8,22,.364,23,30,.767,10,49,20,7,6,17,20,DET
9,9,2016-11-11,@,SAS,L,86,96,32,76,.421,5,25,.200,17,21,.810,9,42,14,2,4,11,14,,36,81,.444,9,20,.450,15,19,.789,10,45,24,8,2,8,13,DET
10,10,2016-11-12,@,DEN,W,106,95,46,90,.511,4,18,.222,10,14,.714,11,37,23,11,1,9,16,,36,84,.429,9,25,.360,14,19,.737,14,42,15,6,4,15,14,DET
11,11,2016-11-14,,OKC,W,104,88,43,92,.467,5,16,.313,13,16,.813,4,47,25,4,9,9,14,,33,88,.375,5,27,.185,17,22,.773,13,51,16,3,6,15,21,DET
12,12,2016-11-16,@,NYK,L,102,105,42,85,.494,8,23,.348,10,12,.833,8,40,19,6,1,10,14,,42,93,.452,9,25,.360,12,19,.632,19,52,24,8,9,9,11,DET
13,13,2016-11-18,@,CLE,L,81,104,29,93,.312,6,19,.316,17,20,.850,11,44,23,5,4,7,15,,40,83,.482,11,25,.440,13,14,.929,5,52,26,4,8,13,14,DET
14,14,2016-11-19,,BOS,L,92,94,37,86,.430,7,20,.350,11,16,.688,11,50,22,5,4,5,13,,33,82,.402,12,31,.387,16,17,.941,9,46,22,3,7,8,13,DET
15,15,2016-11-21,,HOU,L,96,99,36,87,.414,7,17,.412,17,24,.708,12,39,19,7,3,14,20,,35,78,.449,10,31,.323,19,27,.704,12,46,22,4,6,15,20,DET
16,16,2016-11-23,,MIA,W,107,84,40,81,.494,6,19,.316,21,25,.840,10,49,22,8,7,13,19,,27,75,.360,7,26,.269,23,30,.767,7,37,19,5,4,14,22,DET
17,17,2016-11-25,,LAC,W,108,97,47,90,.522,9,19,.474,5,7,.714,9,42,26,7,0,10,22,,35,73,.479,7,21,.333,20,26,.769,6,33,26,4,5,14,16,DET
18,18,2016-11-26,@,OKC,L,88,106,37,82,.451,1,19,.053,13,17,.765,6,32,11,7,1,8,20,,42,83,.506,8,23,.348,14,26,.538,10,43,23,4,3,10,16,DET
19,19,2016-11-29,@,CHO,W,112,89,45,92,.489,12,28,.429,10,11,.909,9,44,21,7,4,11,19,,31,78,.397,9,27,.333,18,21,.857,5,40,21,7,5,13,16,DET
20,20,2016-11-30,@,BOS,W,121,114,48,87,.552,9,20,.450,16,21,.762,13,52,28,4,8,11,19,,40,91,.440,15,42,.357,19,20,.950,9,33,26,6,3,5,17,DET
21,21,2016-12-02,@,ATL,W,121,85,48,89,.539,17,29,.586,8,12,.667,11,54,28,4,3,15,15,,32,88,.364,6,24,.250,15,20,.750,6,32,22,6,2,7,12,DET
22,22,2016-12-04,,ORL,L,92,98,38,86,.442,10,27,.370,6,13,.462,10,44,16,8,3,12,12,,42,79,.532,7,23,.304,7,14,.500,4,39,23,8,7,10,11,DET
23,23,2016-12-06,,CHI,W,102,91,40,88,.455,8,21,.381,14,21,.667,9,44,24,10,5,9,23,,33,75,.440,2,15,.133,23,32,.719,9,45,15,6,7,14,20,DET
24,24,2016-12-07,@,CHO,L,77,87,34,89,.382,4,27,.148,5,8,.625,7,57,21,3,8,12,18,,30,88,.341,6,21,.286,21,29,.724,5,51,13,7,2,5,11,DET
25,25,2016-12-09,@,MIN,W,117,90,42,84,.500,14,29,.483,19,23,.826,11,42,23,6,1,7,23,,37,78,.474,3,16,.188,13,20,.650,7,37,19,4,2,12,16,DET
26,26,2016-12-11,,PHI,L,79,97,32,82,.390,5,19,.263,10,14,.714,10,34,15,15,2,15,18,,38,68,.559,7,17,.412,14,17,.824,5,42,24,11,4,20,13,DET
27,27,2016-12-14,@,DAL,W,95,85,36,71,.507,5,17,.294,18,22,.818,10,50,18,4,2,19,19,,32,78,.410,8,25,.320,13,16,.813,6,30,19,13,3,11,22,DET
28,28,2016-12-16,@,WAS,L,108,122,42,86,.488,10,28,.357,14,21,.667,10,40,22,3,1,9,19,,44,77,.571,12,25,.480,22,27,.815,3,36,30,6,1,5,23,DET
29,29,2016-12-17,,IND,L,90,105,32,84,.381,10,30,.333,16,22,.727,10,40,22,6,1,8,18,,40,83,.482,6,19,.316,19,25,.760,9,51,20,6,3,9,16,DET
30,30,2016-12-19,@,CHI,L,82,113,34,83,.410,3,23,.130,11,13,.846,10,32,19,8,3,11,8,,49,82,.598,8,16,.500,7,7,1.000,9,46,34,9,5,13,13,DET
31,31,2016-12-21,,MEM,L,86,98,26,72,.361,6,23,.261,28,37,.757,10,46,17,2,3,17,18,,35,82,.427,12,30,.400,16,19,.842,7,38,25,9,4,8,26,DET
32,32,2016-12-23,,GSW,L,113,119,43,85,.506,10,29,.345,17,28,.607,5,36,22,12,3,13,22,,43,77,.558,11,27,.407,22,24,.917,4,41,35,9,2,22,21,DET
33,33,2016-12-26,,CLE,W,106,90,41,92,.446,16,28,.571,8,15,.533,10,45,25,12,4,12,19,,30,79,.380,11,28,.393,19,23,.826,10,47,19,8,3,21,23,DET
34,34,2016-12-28,,MIL,L,94,119,39,88,.443,6,24,.250,10,16,.625,11,44,28,4,1,10,12,,48,84,.571,11,22,.500,12,16,.750,3,38,36,8,5,7,14,DET
35,35,2016-12-30,@,ATL,L,98,105,35,84,.417,9,31,.290,19,21,.905,14,43,22,9,7,18,24,,39,88,.443,8,26,.308,19,25,.760,12,44,29,10,2,15,21,DET
36,36,2017-01-01,@,MIA,W,107,98,42,86,.488,9,22,.409,14,22,.636,10,48,16,7,5,12,18,,35,77,.455,14,26,.538,14,18,.778,3,34,25,6,4,10,22,DET
37,37,2017-01-03,,IND,L,116,121,48,97,.495,10,29,.345,10,12,.833,16,42,31,5,5,10,19,,43,74,.581,9,16,.563,26,30,.867,6,34,26,7,7,11,8,DET
38,38,2017-01-05,,CHO,W,115,114,39,97,.402,10,28,.357,27,32,.844,16,56,24,2,6,7,23,,37,91,.407,10,26,.385,30,34,.882,8,49,20,4,5,5,23,DET
39,39,2017-01-08,@,POR,W,125,124,54,105,.514,8,25,.320,9,12,.750,6,41,19,14,3,9,16,,51,98,.520,15,35,.429,7,12,.583,7,42,36,5,5,16,11,DET
40,40,2017-01-10,@,SAC,L,94,100,36,82,.439,12,27,.444,10,16,.625,8,35,14,12,9,12,24,,32,73,.438,13,23,.565,23,29,.793,12,45,21,6,3,16,17,DET
41,41,2017-01-12,@,GSW,L,107,127,43,88,.489,6,28,.214,15,20,.750,9,40,20,10,4,19,19,,50,89,.562,15,29,.517,12,18,.667,6,37,39,14,4,18,14,DET
42,42,2017-01-13,@,UTA,L,77,110,30,76,.395,6,17,.353,11,16,.688,3,35,15,5,4,13,16,,43,80,.538,16,31,.516,8,13,.615,7,47,22,10,6,12,14,DET
43,43,2017-01-15,@,LAL,W,102,97,41,95,.432,9,25,.360,11,16,.688,10,46,24,6,6,7,22,,36,83,.434,6,26,.231,19,24,.792,9,50,19,2,4,14,18,DET
44,44,2017-01-18,,ATL,W,118,95,45,91,.495,10,25,.400,18,28,.643,18,60,27,6,0,12,29,,30,78,.385,6,25,.240,29,37,.784,8,32,22,1,4,12,21,DET
45,45,2017-01-21,,WAS,W,113,112,43,87,.494,11,28,.393,16,22,.727,13,49,25,9,4,20,27,,39,91,.429,8,26,.308,26,33,.788,13,47,23,12,3,11,22,DET
46,46,2017-01-23,,SAC,L,104,109,41,82,.500,10,28,.357,12,17,.706,6,38,27,8,1,15,21,,40,82,.488,9,21,.429,20,26,.769,10,43,25,10,3,14,15,DET
47,47,2017-01-28,@,MIA,L,103,116,46,89,.517,4,12,.333,7,12,.583,13,42,11,6,3,12,16,,42,80,.525,14,28,.500,18,23,.783,9,38,18,6,6,11,19,DET
48,48,2017-01-30,@,BOS,L,109,113,43,97,.443,3,27,.111,20,29,.690,12,51,18,6,7,7,23,,36,82,.439,13,32,.406,28,33,.848,6,44,23,6,5,9,18,DET
49,49,2017-02-01,,NOP,W,118,98,48,88,.545,10,26,.385,12,17,.706,5,42,28,9,0,10,13,,41,82,.500,5,21,.238,11,14,.786,3,35,21,6,5,14,15,DET
50,50,2017-02-03,,MIN,W,116,108,44,98,.449,11,26,.423,17,22,.773,18,49,24,7,4,10,14,,44,89,.494,5,17,.294,15,19,.789,11,40,25,5,6,13,19,DET
51,51,2017-02-04,@,IND,L,84,105,31,75,.413,6,17,.353,16,20,.800,8,43,18,2,6,21,13,,44,91,.484,7,24,.292,10,15,.667,7,41,22,11,4,6,17,DET
52,52,2017-02-06,,PHI,W,113,96,46,99,.465,5,22,.227,16,17,.941,19,60,22,8,4,12,19,,36,85,.424,5,28,.179,19,28,.679,11,41,19,8,0,13,17,DET
53,53,2017-02-08,,LAL,W,121,102,51,97,.526,4,16,.250,15,24,.625,14,52,32,11,6,14,14,,37,86,.430,6,23,.261,22,26,.846,7,41,21,7,3,21,21,DET
54,54,2017-02-10,,SAS,L,92,103,39,92,.424,5,17,.294,9,13,.692,7,35,22,8,3,10,15,,41,82,.500,9,19,.474,12,15,.800,11,52,27,4,5,18,18,DET
55,55,2017-02-12,@,TOR,W,102,101,36,84,.429,8,31,.258,22,29,.759,11,41,12,8,5,7,18,,38,75,.507,8,16,.500,17,25,.680,6,38,18,4,5,9,18,DET
56,56,2017-02-13,@,MIL,L,89,102,34,78,.436,7,21,.333,14,19,.737,12,44,17,4,1,17,18,,40,79,.506,6,21,.286,16,16,1.000,5,33,26,9,2,11,17,DET
57,57,2017-02-15,,DAL,W,98,91,36,82,.439,6,19,.316,20,22,.909,9,55,15,2,4,15,16,,35,92,.380,10,37,.270,11,11,1.000,5,39,22,10,2,6,21,DET
58,58,2017-02-23,,CHO,W,114,108,44,107,.411,15,37,.405,11,12,.917,10,57,29,5,2,8,17,,38,92,.413,7,30,.233,25,26,.962,5,50,19,5,7,7,15,DET
59,59,2017-02-26,,BOS,L,98,104,35,81,.432,12,33,.364,16,35,.457,11,45,22,8,4,17,24,,34,85,.400,12,35,.343,24,30,.800,9,52,22,9,1,14,26,DET
60,60,2017-02-28,,POR,W,120,113,45,104,.433,7,25,.280,23,31,.742,16,48,23,13,2,7,19,,44,84,.524,10,25,.400,15,22,.682,8,50,25,5,5,24,25,DET
61,61,2017-03-01,@,NOP,L,86,109,40,103,.388,3,23,.130,3,17,.176,23,50,13,11,3,7,17,,39,78,.500,9,25,.360,22,23,.957,8,53,18,6,4,14,15,DET
62,62,2017-03-04,@,PHI,W,136,106,54,95,.568,10,23,.435,18,21,.857,10,44,26,11,10,7,9,,43,88,.489,14,34,.412,6,7,.857,6,36,30,5,2,19,18,DET
63,63,2017-03-06,,CHI,W,109,95,45,92,.489,6,21,.286,13,20,.650,10,48,26,7,3,6,19,,34,83,.410,8,28,.286,19,21,.905,7,37,21,3,5,10,20,DET
64,64,2017-03-08,@,IND,L,98,115,39,89,.438,7,26,.269,13,22,.591,11,45,20,4,4,10,18,,44,88,.500,11,23,.478,16,19,.842,9,46,27,3,2,5,18,DET
65,65,2017-03-09,,CLE,W,106,101,41,88,.466,9,26,.346,15,19,.789,11,45,22,6,1,7,15,,39,84,.464,11,39,.282,12,19,.632,8,42,24,4,1,9,17,DET
66,66,2017-03-11,,NYK,W,112,92,46,96,.479,9,27,.333,11,19,.579,14,51,27,14,6,7,15,,36,82,.439,13,30,.433,7,11,.636,8,44,26,4,7,18,18,DET
67,67,2017-03-14,@,CLE,L,96,128,37,99,.374,4,19,.211,18,19,.947,16,45,20,6,1,8,19,,46,77,.597,19,30,.633,17,23,.739,3,41,29,4,3,9,18,DET
68,68,2017-03-15,,UTA,L,83,97,36,86,.419,3,13,.231,8,12,.667,8,39,14,6,4,7,18,,36,77,.468,13,28,.464,12,16,.750,6,43,28,6,5,15,15,DET
69,69,2017-03-17,,TOR,L,75,87,29,83,.349,3,20,.150,14,21,.667,12,49,14,5,5,12,17,,30,78,.385,9,27,.333,18,20,.900,8,53,19,5,2,12,21,DET
70,70,2017-03-19,,PHO,W,112,95,40,92,.435,12,25,.480,20,30,.667,12,63,26,2,4,12,21,,35,99,.354,6,22,.273,19,30,.633,11,47,16,10,4,4,21,DET
71,71,2017-03-21,@,BRK,L,96,98,40,92,.435,5,23,.217,11,16,.688,10,51,17,8,8,6,17,,38,88,.432,10,29,.345,12,19,.632,11,46,22,1,6,10,13,DET
72,72,2017-03-22,@,CHI,L,95,117,39,88,.443,7,20,.350,10,17,.588,16,44,18,6,1,15,17,,47,80,.588,11,23,.478,12,19,.632,7,36,36,12,2,11,20,DET
73,73,2017-03-24,@,ORL,L,87,115,34,96,.354,2,22,.091,17,20,.850,12,50,21,3,3,8,17,,47,91,.516,12,26,.462,9,13,.692,6,47,36,4,6,10,17,DET
74,74,2017-03-27,@,NYK,L,95,109,36,84,.429,9,23,.391,14,21,.667,12,42,18,4,3,18,16,,45,84,.536,7,21,.333,12,13,.923,4,37,26,13,5,12,16,DET
75,75,2017-03-28,,MIA,L,96,97,36,85,.424,8,27,.296,16,21,.762,16,51,20,7,5,12,23,,36,79,.456,5,21,.238,20,28,.714,11,44,18,5,4,12,18,DET
76,76,2017-03-30,,BRK,W,90,89,36,86,.419,7,18,.389,11,17,.647,11,53,20,6,7,16,11,,35,92,.380,10,31,.323,9,12,.750,8,46,17,4,4,12,16,DET
77,77,2017-03-31,@,MIL,L,105,108,44,97,.454,7,30,.233,10,16,.625,13,54,25,8,4,12,27,,35,84,.417,14,36,.389,24,34,.706,9,48,25,6,3,12,18,DET
78,78,2017-04-05,,TOR,L,102,105,42,81,.519,7,21,.333,11,18,.611,12,45,22,5,4,14,21,,41,87,.471,10,30,.333,13,15,.867,7,36,29,7,2,11,14,DET
79,79,2017-04-07,@,HOU,W,114,109,46,108,.426,9,26,.346,13,16,.813,18,55,27,5,1,6,17,,36,87,.414,16,51,.314,21,28,.750,9,49,25,3,6,11,15,DET
80,80,2017-04-09,@,MEM,W,103,90,39,82,.476,14,28,.500,11,16,.688,15,46,21,8,2,18,12,,36,75,.480,9,21,.429,9,13,.692,6,30,23,12,3,15,16,DET
81,81,2017-04-10,,WAS,L,101,105,43,94,.457,10,26,.385,5,5,1.000,6,36,22,9,2,10,18,,42,83,.506,7,19,.368,14,16,.875,9,48,27,8,5,17,13,DET
82,82,2017-04-12,@,ORL,L,109,113,41,106,.387,11,36,.306,16,28,.571,17,53,20,6,3,8,15,,42,87,.483,13,25,.520,16,17,.941,6,51,27,7,6,11,22,DET
1,1,2016-10-25,,SAS,L,100,129,40,85,.471,7,33,.212,13,18,.722,8,35,24,11,6,16,19,,47,98,.480,12,24,.500,23,26,.885,21,55,25,13,3,13,19,GSW
2,2,2016-10-28,@,NOP,W,122,114,44,91,.484,9,28,.321,25,28,.893,9,49,32,8,2,14,22,,47,100,.470,5,22,.227,15,23,.652,12,49,29,8,5,13,24,GSW
3,3,2016-10-30,@,PHO,W,106,100,35,83,.422,8,29,.276,28,33,.848,7,43,27,6,5,15,23,,37,90,.411,8,23,.348,18,25,.720,11,50,19,10,6,11,26,GSW
4,4,2016-11-01,@,POR,W,127,104,50,89,.562,10,26,.385,17,23,.739,7,45,36,14,4,16,19,,37,86,.430,14,39,.359,16,21,.762,6,32,23,12,4,18,17,GSW
5,5,2016-11-03,,OKC,W,122,96,46,89,.517,14,30,.467,16,20,.800,15,46,27,9,14,15,18,,35,87,.402,10,27,.370,16,28,.571,13,41,20,8,6,16,20,GSW
6,6,2016-11-04,@,LAL,L,97,117,39,86,.453,5,32,.156,14,20,.700,9,40,26,13,3,20,13,,45,95,.474,8,30,.267,19,21,.905,16,51,26,9,5,16,19,GSW
7,7,2016-11-07,,NOP,W,116,106,45,90,.500,16,35,.457,10,12,.833,10,38,35,14,4,15,17,,39,80,.488,7,21,.333,21,27,.778,11,43,26,8,1,19,16,GSW
